id,name,type,phase,start_time,duration,link,prepared_by,scraped_at
2122,Codeforces Round (Div. 1 + Div. 2),CF,BEFORE,2025-07-19 14:35:00,2:30,https://codeforces.com/contest/2122,N/A,2025-06-29 20:31:06
2124,Codeforces Round (Div. 1 + Div. 2),CF,BEFORE,2025-07-06 14:35:00,3:00,https://codeforces.com/contest/2124,N/A,2025-06-29 20:31:06
2119,Codeforces Round (Div. 2),CF,BEFORE,2025-07-05 14:35:00,2:00,https://codeforces.com/contest/2119,N/A,2025-06-29 20:31:06
2123,Codeforces Round 1034 (Div. 3),ICPC,BEFORE,2025-07-01 14:35:00,2:15,https://codeforces.com/contest/2123,N/A,2025-06-29 20:31:06
